row,fold,p_raw,raw_asymmetry,y,fight_id,event_date,fighter_a_id,fighter_b_id,weight_class,odds_a,odds_b,q_mkt,a_n_fights,b_n_fights,p_cal,calibrated,p_blend,blended,side,p_side,q_side,edge,dec_odds,won,stake
7582,4,0.7586127519607544,0.02081388235092163,1,1009,2024-06-29,1335,3600,Strawweight,-200.0,150.0,0.625,16,14,0.9166666666666666,True,0.7057363408468319,True,a,0.7057363408468319,0.625,0.0807363408468319,1.5,1,0.02
7583,4,0.6796775460243225,0.02535831928253174,1,1010,2024-06-29,3687,1289,Heavyweight,-280.0,205.0,0.6920583468395461,5,41,0.6666666666666666,True,0.7343927888543432,True,a,0.7343927888543432,0.6920583468395461,0.04233444201479708,1.3571428571428572,1,0.0
7584,4,0.4820292592048645,0.05808049440383911,0,1011,2024-06-29,3045,2353,Flyweight,310.0,-480.0,0.22762951334379902,4,0,0.44660194174757284,True,0.1849772268312143,True,b,0.8150227731687857,0.772370486656201,0.04265228651258468,1.2083333333333333,1,0.0
7586,4,0.2974545955657959,0.08292794227600098,0,1008,2024-06-29,765,326,Bantamweight,750.0,-2000.0,0.1099476439790576,1,2,0.24390243902439024,True,0.06799447340258276,True,b,0.9320055265974172,0.8900523560209423,0.04195317057647485,1.05,1,0.0
7591,4,0.7180048227310181,0.027327537536621094,0,992,2024-07-13,4157,3697,Featherweight,-280.0,175.0,0.6695652173913044,5,14,0.7104285919451796,True,0.715115346650927,True,a,0.715115346650927,0.6695652173913044,0.04555012925962265,1.3571428571428572,0,0.0
7593,4,0.37731343507766724,0.03859400749206543,1,994,2024-07-13,3787,509,Flyweight,200.0,-300.0,0.3076923076923077,8,3,0.36,True,0.2603305380853258,True,b,0.7396694619146742,0.6923076923076923,0.04736176960698191,1.3333333333333333,0,0.0
7597,4,0.4097141623497009,0.04678940773010254,0,999,2024-07-13,3877,896,Welterweight,333.0,-625.0,0.21129326047358832,2,3,0.41541030248577415,True,0.16648143438930715,True,b,0.8335185656106928,0.7887067395264117,0.04481182608428114,1.16,1,0.0
7598,4,0.7014038562774658,0.00018322467803955078,1,997,2024-07-13,1344,639,Flyweight,-440.0,300.0,0.7652173913043477,2,5,0.6666666666666666,True,0.810630744478728,True,a,0.810630744478728,0.7652173913043477,0.04541335317438022,1.2272727272727273,1,0.0
7604,4,0.35558369755744934,0.03821110725402832,0,984,2024-07-20,4739,3874,Flyweight,190.0,-260.0,0.32315978456014366,1,9,0.2987551867219917,True,0.270099399337356,True,b,0.7299006006626441,0.6768402154398563,0.053060385222787776,1.3846153846153846,1,0.006910540596379645
7610,4,0.4323192834854126,0.0008429288864135742,0,967,2024-07-27,3770,1034,Featherweight,200.0,-290.0,0.30952380952380953,9,12,0.42857142857142855,True,0.2691673284830261,True,b,0.730832671516974,0.6904761904761905,0.04035648104078349,1.3448275862068966,1,0.0
7612,4,0.3046439290046692,0.04410743713378906,0,968,2024-07-27,2797,2806,Featherweight,315.0,-500.0,0.22429906542056074,12,10,0.2987551867219917,True,0.17026145807534726,True,b,0.8297385419246528,0.7757009345794392,0.05403760734521357,1.2,1,0.0
7613,4,0.46876657009124756,0.020627260208129883,0,964,2024-07-27,4325,2691,Heavyweight,300.0,-430.0,0.23555555555555555,18,8,0.44660194174757284,True,0.19300353309545243,True,b,0.8069964669045475,0.7644444444444445,0.042552022460103034,1.2325581395348837,1,0.0
